workout_type,day_index,fitness_level,order,exercise_name,sets,reps,duration_sec
Strength,1,Beginner,1,Bodyweight Squat,3.0,12.0,
Strength,1,Beginner,2,Knee Push-ups,3.0,12.0,
Strength,1,Beginner,3,Plank,3.0,,45
Strength,2,Beginner,1,Goblet Squat (light),3.0,10.0,
Strength,2,Beginner,2,Incline Push-ups,3.0,10.0,
Strength,2,Beginner,3,Side Plank,3.0,,30
Strength,3,Beginner,1,Lunges,3.0,12.0,
Strength,3,Beginner,2,Dumbbell Row (light),3.0,10.0,
Strength,3,Beginner,3,Glute Bridge,3.0,15.0,
Strength,4,Beginner,1,Assist Pull-down,2.0,12.0,
Strength,4,Beginner,2,Dead Bug,2.0,15.0,
Strength,4,Beginner,3,Relaxed Walk,,,900
Strength,5,Beginner,1,Bodyweight Squat,3.0,12.0,
Strength,5,Beginner,2,Knee Push-ups,3.0,12.0,
Strength,5,Beginner,3,Plank,3.0,,45
Strength,6,Beginner,1,Goblet Squat (light),3.0,10.0,
Strength,6,Beginner,2,Incline Push-ups,3.0,10.0,
Strength,6,Beginner,3,Side Plank,3.0,,30
Strength,7,Beginner,1,Assist Pull-down,2.0,12.0,
Strength,7,Beginner,2,Dead Bug,2.0,15.0,
Strength,7,Beginner,3,Relaxed Walk,,,900
Strength,1,Intermediate,1,Goblet Squat,4.0,10.0,
Strength,1,Intermediate,2,Push-ups,4.0,10.0,
Strength,1,Intermediate,3,Plank,4.0,,60
Strength,2,Intermediate,1,Deadlift (moderate),4.0,8.0,
Strength,2,Intermediate,2,Bench Press (dumbbell),4.0,8.0,
Strength,2,Intermediate,3,Hanging Leg Raise,3.0,12.0,
Strength,3,Intermediate,1,Walking Lunges,4.0,12.0,
Strength,3,Intermediate,2,Single-arm Row,4.0,10.0,
Strength,3,Intermediate,3,Farmer Carry,3.0,,30
Strength,4,Intermediate,1,Goblet Squat,4.0,10.0,
Strength,4,Intermediate,2,Push-ups,4.0,10.0,
Strength,4,Intermediate,3,Plank,4.0,,60
Strength,5,Intermediate,1,Front Squat,3.0,8.0,
Strength,5,Intermediate,2,Overhead Press,3.0,8.0,
Strength,5,Intermediate,3,Core Circuit,,,600
Strength,6,Intermediate,1,Deadlift (moderate),4.0,8.0,
Strength,6,Intermediate,2,Bench Press (dumbbell),4.0,8.0,
Strength,6,Intermediate,3,Hanging Leg Raise,3.0,12.0,
Strength,7,Intermediate,1,Front Squat,3.0,8.0,
Strength,7,Intermediate,2,Overhead Press,3.0,8.0,
Strength,7,Intermediate,3,Core Circuit,,,600
Strength,1,Advanced,1,Barbell Back Squat,5.0,5.0,
Strength,1,Advanced,2,Weighted Push-ups,5.0,8.0,
Strength,1,Advanced,3,Weighted Plank,4.0,,90
Strength,2,Advanced,1,Deadlift (heavy),5.0,5.0,
Strength,2,Advanced,2,Incline Bench,4.0,6.0,
Strength,2,Advanced,3,Weighted Pull-ups,4.0,6.0,
Strength,3,Advanced,1,Pistol Squat Progression,4.0,6.0,
Strength,3,Advanced,2,Muscle-up Practice,4.0,5.0,
Strength,3,Advanced,3,Hanging Windshield Wipers,4.0,10.0,
Strength,4,Advanced,1,Olympic Lift Tech,4.0,3.0,
Strength,4,Advanced,2,Speed Deadlift,4.0,3.0,
Strength,4,Advanced,3,Core EMOM,,,720
Strength,5,Advanced,1,Barbell Back Squat,5.0,5.0,
Strength,5,Advanced,2,Weighted Push-ups,5.0,8.0,
Strength,5,Advanced,3,Weighted Plank,4.0,,90
Strength,6,Advanced,1,Deadlift (heavy),5.0,5.0,
Strength,6,Advanced,2,Incline Bench,4.0,6.0,
Strength,6,Advanced,3,Weighted Pull-ups,4.0,6.0,
Strength,7,Advanced,1,Olympic Lift Tech,4.0,3.0,
Strength,7,Advanced,2,Speed Deadlift,4.0,3.0,
Strength,7,Advanced,3,Core EMOM,,,720
Cardio,1,Beginner,1,Brisk Walk,,,1800
Cardio,1,Beginner,2,Light Bike,,,1200
Cardio,1,Beginner,3,Easy Row,,,900
Cardio,2,Beginner,1,Jog Intervals,,,1200
Cardio,2,Beginner,2,Jump Rope (easy),3.0,40.0,
Cardio,2,Beginner,3,Stair Climb,,,600
Cardio,3,Beginner,1,Elliptical,,,1500
Cardio,3,Beginner,2,Shadow Boxing,3.0,60.0,
Cardio,3,Beginner,3,Walk Cooldown,,,900
Cardio,4,Beginner,1,Brisk Walk,,,1800
Cardio,4,Beginner,2,Light Bike,,,1200
Cardio,4,Beginner,3,Easy Row,,,900
Cardio,5,Beginner,1,Jog Intervals,,,1200
Cardio,5,Beginner,2,Jump Rope (easy),3.0,40.0,
Cardio,5,Beginner,3,Stair Climb,,,600
Cardio,6,Beginner,1,Elliptical,,,1500
Cardio,6,Beginner,2,Shadow Boxing,3.0,60.0,
Cardio,6,Beginner,3,Walk Cooldown,,,900
Cardio,7,Beginner,1,Brisk Walk,,,1800
Cardio,7,Beginner,2,Light Bike,,,1200
Cardio,7,Beginner,3,Easy Row,,,900
Cardio,1,Intermediate,1,Running (steady),,,1500
Cardio,1,Intermediate,2,Bike Tempo,,,1800
Cardio,1,Intermediate,3,Rowing Intervals,,,720
Cardio,2,Intermediate,1,Sprint Intervals,,,720
Cardio,2,Intermediate,2,Jump Rope HIIT,4.0,60.0,
Cardio,2,Intermediate,3,Hill Repeats,,,600
Cardio,3,Intermediate,1,Fartlek Run,,,1800
Cardio,3,Intermediate,2,Tempo Bike,,,2100
Cardio,3,Intermediate,3,Recovery Walk,,,1200
Cardio,4,Intermediate,1,Running (steady),,,1500
Cardio,4,Intermediate,2,Bike Tempo,,,1800
Cardio,4,Intermediate,3,Rowing Intervals,,,720
Cardio,5,Intermediate,1,Sprint Intervals,,,720
Cardio,5,Intermediate,2,Jump Rope HIIT,4.0,60.0,
Cardio,5,Intermediate,3,Hill Repeats,,,600
Cardio,6,Intermediate,1,Fartlek Run,,,1800
Cardio,6,Intermediate,2,Tempo Bike,,,2100
Cardio,6,Intermediate,3,Recovery Walk,,,1200
Cardio,7,Intermediate,1,Fartlek Run,,,1800
Cardio,7,Intermediate,2,Tempo Bike,,,2100
Cardio,7,Intermediate,3,Recovery Walk,,,1200
Cardio,1,Advanced,1,Long Run,,,3600
Cardio,1,Advanced,2,Interval Sprints,,,1200
